data,mes,ano,cliente,processo,area,advogado,status_recebimento,honorarios_previstos,honorarios_recebidos,horas_trabalhadas,valor,empresa
2026-03-01,Março,2026,Forge Engenharia,3000162-44.2026.8.26.4193,Família,Juliana Alves,Parcial,5086.98,4145.52,94.4,5086.98,Dobra Legal
2026-03-01,Março,2026,Helix Saúde,3000163-44.2026.8.26.2113,Cível,Carlos Nogueira,Recebido,8162.12,6960.34,17.0,8162.12,Dobra Legal
2026-03-01,Março,2026,Orbit Educação,3000164-44.2026.8.26.5127,Trabalhista,Mariana Costa,Recebido,11977.28,10496.44,16.0,11977.28,Dobra Legal
2026-03-01,Março,2026,Pulse Varejo,3000165-44.2026.8.26.2995,Contratos,Mariana Costa,Recebido,24100.39,22315.92,60.6,24100.39,Dobra Legal
2026-03-01,Março,2026,Lumen Tech,3000166-44.2026.8.26.4027,Cível,Rafael Mendes,Recebido,13692.22,13075.44,48.6,13692.22,Dobra Legal
2026-03-01,Março,2026,Verde Agro,3000167-44.2026.8.26.5528,Tributário,Juliana Alves,Recebido,3044.86,2938.94,75.9,3044.86,Dobra Legal
2026-03-01,Março,2026,Costa Farma,3000168-44.2026.8.26.6450,Cível,Juliana Alves,Em aberto,8967.64,6476.97,31.0,8967.64,Dobra Legal
2026-03-01,Março,2026,Delta Log,3000169-44.2026.8.26.4287,Família,Carlos Nogueira,Recebido,10390.37,10294.15,50.8,10390.37,Dobra Legal
2026-03-01,Março,2026,Aurora Moda,3000170-44.2026.8.26.2740,Tributário,Juliana Alves,Recebido,4694.78,3493.22,14.3,4694.78,Dobra Legal
2026-03-01,Março,2026,Pampa Alimentos,3000171-44.2026.8.26.1307,Tributário,Rafael Mendes,Parcial,24802.70,22316.39,8.1,24802.70,Dobra Legal
2026-03-01,Março,2026,Serra Café,3000172-44.2026.8.26.6403,Tributário,Fernanda Lima,Recebido,3077.40,2061.54,69.6,3077.40,Dobra Legal
2026-03-01,Março,2026,Maré Energia,3000173-44.2026.8.26.2148,Família,Rafael Mendes,Recebido,12689.53,9285.70,91.0,12689.53,Dobra Legal
2026-03-01,Março,2026,Céu Soft,3000174-44.2026.8.26.6880,Empresarial,Juliana Alves,Recebido,10681.77,8448.07,63.0,10681.77,Dobra Legal
2026-03-01,Março,2026,Rio Branco,3000175-44.2026.8.26.6571,Cível,Carlos Nogueira,Parcial,2700.35,2522.14,33.2,2700.35,Dobra Legal
2026-03-01,Março,2026,Casa Norte,3000176-44.2026.8.26.7294,Contratos,Rafael Mendes,Recebido,3957.65,2246.76,41.9,3957.65,Dobra Legal
2026-03-01,Março,2026,Sul Minas,3000177-44.2026.8.26.2390,Contratos,Carlos Nogueira,Parcial,3034.58,2159.61,20.2,3034.58,Dobra Legal
2026-03-01,Março,2026,Boa Vista,3000178-44.2026.8.26.4907,Tributário,Carlos Nogueira,Recebido,3651.36,3645.42,55.0,3651.36,Dobra Legal
2026-03-01,Março,2026,Terra Nova,3000179-44.2026.8.26.8361,Cível,Mariana Costa,Recebido,7993.89,7867.82,37.4,7993.89,Dobra Legal
2026-04-01,Abril,2026,Atlas Ltda,3000180-44.2026.8.26.9570,Tributário,Fernanda Lima,Recebido,2750.94,1775.06,58.4,2750.94,Dobra Legal
2026-04-01,Abril,2026,Nimbus SA,3000181-44.2026.8.26.1312,Tributário,Fernanda Lima,Recebido,2286.47,1403.24,69.0,2286.47,Dobra Legal
2026-04-01,Abril,2026,Forge Engenharia,3000182-44.2026.8.26.6035,Cível,Carlos Nogueira,Parcial,3629.09,3029.19,80.7,3629.09,Dobra Legal
2026-04-01,Abril,2026,Helix Saúde,3000183-44.2026.8.26.9145,Família,Fernanda Lima,Recebido,3270.43,1955.22,78.0,3270.43,Dobra Legal
2026-04-01,Abril,2026,Orbit Educação,3000184-44.2026.8.26.7586,Empresarial,Mariana Costa,Em aberto,11897.55,11018.96,58.1,11897.55,Dobra Legal
2026-04-01,Abril,2026,Pulse Varejo,3000185-44.2026.8.26.4493,Cível,Fernanda Lima,Recebido,4251.22,4183.67,13.5,4251.22,Dobra Legal
2026-04-01,Abril,2026,Lumen Tech,3000186-44.2026.8.26.7060,Família,Rafael Mendes,Recebido,6735.74,4963.03,88.5,6735.74,Dobra Legal
2026-04-01,Abril,2026,Verde Agro,3000187-44.2026.8.26.7162,Trabalhista,Mariana Costa,Em aberto,2408.05,2181.63,15.0,2408.05,Dobra Legal
2026-04-01,Abril,2026,Costa Farma,3000188-44.2026.8.26.5648,Tributário,Carlos Nogueira,Parcial,2466.06,1455.26,25.9,2466.06,Dobra Legal
2026-04-01,Abril,2026,Delta Log,3000189-44.2026.8.26.3859,Família,Mariana Costa,Parcial,8076.03,5939.23,70.4,8076.03,Dobra Legal
2026-04-01,Abril,2026,Aurora Moda,3000190-44.2026.8.26.5934,Empresarial,Carlos Nogueira,Recebido,27007.95,22477.00,28.5,27007.95,Dobra Legal
2026-04-01,Abril,2026,Pampa Alimentos,3000191-44.2026.8.26.6929,Família,Fernanda Lima,Recebido,3483.12,3446.74,75.0,3483.12,Dobra Legal
2026-04-01,Abril,2026,Serra Café,3000192-44.2026.8.26.3444,Contratos,Carlos Nogueira,Recebido,4159.76,2650.49,21.9,4159.76,Dobra Legal
2026-04-01,Abril,2026,Maré Energia,3000193-44.2026.8.26.4433,Tributário,Juliana Alves,Recebido,2308.07,1647.70,78.0,2308.07,Dobra Legal
2026-04-01,Abril,2026,Céu Soft,3000194-44.2026.8.26.9804,Trabalhista,Rafael Mendes,Parcial,10243.66,9047.07,50.2,10243.66,Dobra Legal
2026-04-01,Abril,2026,Rio Branco,3000195-44.2026.8.26.8287,Família,Fernanda Lima,Recebido,2329.28,1527.74,25.3,2329.28,Dobra Legal
2026-04-01,Abril,2026,Casa Norte,3000196-44.2026.8.26.4731,Cível,Rafael Mendes,Parcial,7047.52,4225.41,83.7,7047.52,Dobra Legal
2026-04-01,Abril,2026,Sul Minas,3000197-44.2026.8.26.8936,Cível,Carlos Nogueira,Recebido,15013.93,8754.45,88.7,15013.93,Dobra Legal
2026-04-01,Abril,2026,Boa Vista,3000198-44.2026.8.26.8499,Contratos,Rafael Mendes,Parcial,11001.59,7899.89,92.9,11001.59,Dobra Legal
2026-04-01,Abril,2026,Terra Nova,3000199-44.2026.8.26.1977,Empresarial,Rafael Mendes,Recebido,4280.18,2415.92,48.5,4280.18,Dobra Legal
2026-05-01,Maio,2026,Atlas Ltda,3000200-44.2026.8.26.5835,Família,Rafael Mendes,Parcial,10963.01,7724.64,63.5,10963.01,Dobra Legal
2026-05-01,Maio,2026,Nimbus SA,3000201-44.2026.8.26.4763,Cível,Carlos Nogueira,Em aberto,26565.22,21521.94,50.6,26565.22,Dobra Legal
2026-05-01,Maio,2026,Forge Engenharia,3000202-44.2026.8.26.5573,Cível,Carlos Nogueira,Parcial,4797.95,4446.00,29.5,4797.95,Dobra Legal
2026-05-01,Maio,2026,Helix Saúde,3000203-44.2026.8.26.3440,Família,Mariana Costa,Recebido,7764.21,5047.38,11.8,7764.21,Dobra Legal
2026-05-01,Maio,2026,Orbit Educação,3000204-44.2026.8.26.7974,Família,Carlos Nogueira,Recebido,14125.80,10974.30,77.4,14125.80,Dobra Legal
2026-05-01,Maio,2026,Pulse Varejo,3000205-44.2026.8.26.1203,Contratos,Carlos Nogueira,Em aberto,2810.08,1849.68,19.5,2810.08,Dobra Legal
2026-05-01,Maio,2026,Lumen Tech,3000206-44.2026.8.26.1260,Tributário,Juliana Alves,Recebido,7079.11,7075.77,48.0,7079.11,Dobra Legal
2026-05-01,Maio,2026,Verde Agro,3000207-44.2026.8.26.8452,Tributário,Rafael Mendes,Em aberto,24998.14,14023.61,43.3,24998.14,Dobra Legal
2026-05-01,Maio,2026,Costa Farma,3000208-44.2026.8.26.1022,Contratos,Mariana Costa,Recebido,8440.11,7315.51,68.1,8440.11,Dobra Legal
2026-05-01,Maio,2026,Delta Log,3000209-44.2026.8.26.5420,Contratos,Fernanda Lima,Recebido,17923.87,13293.35,77.1,17923.87,Dobra Legal
2026-05-01,Maio,2026,Aurora Moda,3000210-44.2026.8.26.1898,Família,Juliana Alves,Em aberto,3021.77,2118.45,17.7,3021.77,Dobra Legal
2026-05-01,Maio,2026,Pampa Alimentos,3000211-44.2026.8.26.7003,Trabalhista,Fernanda Lima,Parcial,7873.39,4475.18,56.8,7873.39,Dobra Legal
2026-05-01,Maio,2026,Serra Café,3000212-44.2026.8.26.9841,Cível,Carlos Nogueira,Parcial,3880.27,2718.98,73.4,3880.27,Dobra Legal
2026-05-01,Maio,2026,Maré Energia,3000213-44.2026.8.26.6250,Empresarial,Juliana Alves,Recebido,5125.18,4573.70,44.8,5125.18,Dobra Legal
2026-05-01,Maio,2026,Céu Soft,3000214-44.2026.8.26.8966,Família,Fernanda Lima,Em aberto,2319.85,1636.31,48.9,2319.85,Dobra Legal
2026-05-01,Maio,2026,Rio Branco,3000215-44.2026.8.26.5788,Tributário,Fernanda Lima,Recebido,24315.25,19203.82,66.6,24315.25,Dobra Legal
2026-05-01,Maio,2026,Casa Norte,3000216-44.2026.8.26.2430,Cível,Carlos Nogueira,Em aberto,2477.33,2347.99,33.1,2477.33,Dobra Legal
2026-05-01,Maio,2026,Sul Minas,3000217-44.2026.8.26.3424,Tributário,Rafael Mendes,Em aberto,2377.80,1603.05,53.3,2377.80,Dobra Legal
2026-05-01,Maio,2026,Boa Vista,3000218-44.2026.8.26.9870,Trabalhista,Carlos Nogueira,Recebido,2609.39,2573.67,46.6,2609.39,Dobra Legal
2026-05-01,Maio,2026,Terra Nova,3000219-44.2026.8.26.4806,Família,Juliana Alves,Recebido,2607.31,1507.88,37.8,2607.31,Dobra Legal
2026-06-01,Junho,2026,Atlas Ltda,3000220-44.2026.8.26.9686,Família,Carlos Nogueira,Recebido,7946.38,6751.52,57.4,7946.38,Dobra Legal
2026-06-01,Junho,2026,Nimbus SA,3000221-44.2026.8.26.8933,Empresarial,Juliana Alves,Parcial,6842.80,4564.17,12.1,6842.80,Dobra Legal
2026-06-01,Junho,2026,Forge Engenharia,3000222-44.2026.8.26.3634,Contratos,Fernanda Lima,Recebido,7238.18,7095.56,92.7,7238.18,Dobra Legal
2026-06-01,Junho,2026,Helix Saúde,3000223-44.2026.8.26.6187,Família,Rafael Mendes,Recebido,3926.54,2366.18,40.2,3926.54,Dobra Legal
2026-06-01,Junho,2026,Orbit Educação,3000224-44.2026.8.26.6192,Empresarial,Rafael Mendes,Recebido,4739.04,2680.45,55.0,4739.04,Dobra Legal
2026-06-01,Junho,2026,Pulse Varejo,3000225-44.2026.8.26.1408,Tributário,Carlos Nogueira,Parcial,4680.63,2830.24,90.5,4680.63,Dobra Legal
2026-06-01,Junho,2026,Lumen Tech,3000226-44.2026.8.26.9948,Família,Juliana Alves,Parcial,6787.75,6696.57,33.7,6787.75,Dobra Legal
2026-06-01,Junho,2026,Verde Agro,3000227-44.2026.8.26.3409,Família,Carlos Nogueira,Recebido,9643.32,8576.50,17.8,9643.32,Dobra Legal
2026-06-01,Junho,2026,Costa Farma,3000228-44.2026.8.26.2914,Empresarial,Mariana Costa,Recebido,15063.48,9230.00,81.2,15063.48,Dobra Legal
2026-06-01,Junho,2026,Delta Log,3000229-44.2026.8.26.4197,Família,Fernanda Lima,Recebido,12010.34,8369.58,89.4,12010.34,Dobra Legal
2026-06-01,Junho,2026,Aurora Moda,3000230-44.2026.8.26.8298,Contratos,Mariana Costa,Em aberto,6926.96,4070.39,42.3,6926.96,Dobra Legal
2026-06-01,Junho,2026,Pampa Alimentos,3000231-44.2026.8.26.1918,Contratos,Juliana Alves,Recebido,11787.39,9692.59,70.3,11787.39,Dobra Legal
2026-06-01,Junho,2026,Serra Café,3000232-44.2026.8.26.5663,Empresarial,Juliana Alves,Recebido,12079.17,8670.11,46.8,12079.17,Dobra Legal
2026-06-01,Junho,2026,Maré Energia,3000233-44.2026.8.26.8278,Contratos,Carlos Nogueira,Em aberto,18467.23,16205.62,33.1,18467.23,Dobra Legal
2026-06-01,Junho,2026,Céu Soft,3000234-44.2026.8.26.2410,Trabalhista,Rafael Mendes,Recebido,14098.41,10381.89,94.0,14098.41,Dobra Legal
2026-06-01,Junho,2026,Rio Branco,3000235-44.2026.8.26.7156,Cível,Mariana Costa,Recebido,27367.72,15866.49,87.6,27367.72,Dobra Legal
2026-06-01,Junho,2026,Casa Norte,3000236-44.2026.8.26.3243,Trabalhista,Rafael Mendes,Em aberto,10983.77,8325.19,33.2,10983.77,Dobra Legal
2026-06-01,Junho,2026,Sul Minas,3000237-44.2026.8.26.5979,Tributário,Fernanda Lima,Parcial,10237.56,9437.10,27.5,10237.56,Dobra Legal
2026-06-01,Junho,2026,Boa Vista,3000238-44.2026.8.26.8742,Cível,Juliana Alves,Recebido,2434.07,1667.52,50.8,2434.07,Dobra Legal
2026-06-01,Junho,2026,Terra Nova,3000239-44.2026.8.26.9078,Cível,Fernanda Lima,Parcial,3657.60,3270.34,58.6,3657.60,Dobra Legal
2026-07-01,Julho,2026,Atlas Ltda,3000240-44.2026.8.26.8799,Contratos,Mariana Costa,Recebido,21917.08,14598.09,71.8,21917.08,Dobra Legal
2026-07-01,Julho,2026,Nimbus SA,3000241-44.2026.8.26.1958,Trabalhista,Juliana Alves,Recebido,3305.05,2059.98,68.3,3305.05,Dobra Legal
2026-07-01,Julho,2026,Forge Engenharia,3000242-44.2026.8.26.7873,Contratos,Juliana Alves,Recebido,6813.21,4583.26,33.4,6813.21,Dobra Legal
2026-07-01,Julho,2026,Helix Saúde,3000243-44.2026.8.26.4002,Cível,Fernanda Lima,Parcial,2887.47,2584.00,55.3,2887.47,Dobra Legal
2026-07-01,Julho,2026,Orbit Educação,3000244-44.2026.8.26.5932,Empresarial,Juliana Alves,Recebido,9142.15,7846.11,58.5,9142.15,Dobra Legal
2026-07-01,Julho,2026,Pulse Varejo,3000245-44.2026.8.26.7111,Tributário,Carlos Nogueira,Recebido,3626.12,2839.89,87.2,3626.12,Dobra Legal
2026-07-01,Julho,2026,Lumen Tech,3000246-44.2026.8.26.4087,Família,Fernanda Lima,Parcial,2514.52,1952.58,90.9,2514.52,Dobra Legal
2026-07-01,Julho,2026,Verde Agro,3000247-44.2026.8.26.2867,Tributário,Carlos Nogueira,Em aberto,24654.22,21351.02,18.1,24654.22,Dobra Legal
2026-07-01,Julho,2026,Costa Farma,3000248-44.2026.8.26.6104,Contratos,Juliana Alves,Recebido,5469.90,4188.76,46.4,5469.90,Dobra Legal
2026-07-01,Julho,2026,Delta Log,3000249-44.2026.8.26.3821,Contratos,Juliana Alves,Recebido,22778.90,22472.53,78.9,22778.90,Dobra Legal
2026-07-01,Julho,2026,Aurora Moda,3000250-44.2026.8.26.4712,Empresarial,Rafael Mendes,Recebido,3860.65,3329.46,93.4,3860.65,Dobra Legal
2026-07-01,Julho,2026,Pampa Alimentos,3000251-44.2026.8.26.2273,Cível,Carlos Nogueira,Parcial,13885.85,12536.33,11.7,13885.85,Dobra Legal
2026-07-01,Julho,2026,Serra Café,3000252-44.2026.8.26.1971,Tributário,Mariana Costa,Em aberto,2281.32,1932.06,11.8,2281.32,Dobra Legal
2026-07-01,Julho,2026,Maré Energia,3000253-44.2026.8.26.3028,Família,Rafael Mendes,Parcial,8583.23,7635.19,25.4,8583.23,Dobra Legal
2026-07-01,Julho,2026,Céu Soft,3000254-44.2026.8.26.5544,Família,Juliana Alves,Recebido,6342.70,3903.94,82.4,6342.70,Dobra Legal
2026-07-01,Julho,2026,Rio Branco,3000255-44.2026.8.26.2623,Família,Mariana Costa,Recebido,19994.04,16127.31,70.3,19994.04,Dobra Legal
2026-07-01,Julho,2026,Casa Norte,3000256-44.2026.8.26.1070,Contratos,Mariana Costa,Em aberto,6842.92,6085.47,88.1,6842.92,Dobra Legal
2026-07-01,Julho,2026,Sul Minas,3000257-44.2026.8.26.8203,Contratos,Mariana Costa,Recebido,12061.35,9832.67,38.9,12061.35,Dobra Legal
2026-07-01,Julho,2026,Boa Vista,3000258-44.2026.8.26.7677,Cível,Juliana Alves,Recebido,12385.52,9678.20,17.6,12385.52,Dobra Legal
2026-07-01,Julho,2026,Terra Nova,3000259-44.2026.8.26.5723,Família,Mariana Costa,Recebido,4604.03,3280.66,51.0,4604.03,Dobra Legal
2026-08-01,Agosto,2026,Atlas Ltda,3000260-44.2026.8.26.6111,Contratos,Carlos Nogueira,Recebido,11595.31,9510.19,43.4,11595.31,Dobra Legal
2026-08-01,Agosto,2026,Nimbus SA,3000261-44.2026.8.26.8793,Contratos,Juliana Alves,Recebido,11061.92,6430.56,94.9,11061.92,Dobra Legal
2026-08-01,Agosto,2026,Forge Engenharia,3000262-44.2026.8.26.9563,Contratos,Mariana Costa,Recebido,13780.54,10037.28,42.3,13780.54,Dobra Legal
2026-08-01,Agosto,2026,Helix Saúde,3000263-44.2026.8.26.3764,Cível,Juliana Alves,Em aberto,27277.95,24104.01,37.5,27277.95,Dobra Legal
2026-08-01,Agosto,2026,Orbit Educação,3000264-44.2026.8.26.4815,Tributário,Carlos Nogueira,Recebido,25955.89,18997.90,70.1,25955.89,Dobra Legal
2026-08-01,Agosto,2026,Pulse Varejo,3000265-44.2026.8.26.7557,Empresarial,Carlos Nogueira,Parcial,23477.13,20902.55,90.7,23477.13,Dobra Legal
2026-08-01,Agosto,2026,Lumen Tech,3000266-44.2026.8.26.8448,Cível,Mariana Costa,Recebido,12876.71,7936.15,51.3,12876.71,Dobra Legal
2026-08-01,Agosto,2026,Verde Agro,3000267-44.2026.8.26.2117,Tributário,Mariana Costa,Em aberto,3660.19,3228.32,41.3,3660.19,Dobra Legal
2026-08-01,Agosto,2026,Costa Farma,3000268-44.2026.8.26.2578,Cível,Fernanda Lima,Parcial,6776.11,5623.39,77.0,6776.11,Dobra Legal
2026-08-01,Agosto,2026,Delta Log,3000269-44.2026.8.26.9270,Empresarial,Fernanda Lima,Recebido,4194.46,3246.74,82.8,4194.46,Dobra Legal
2026-08-01,Agosto,2026,Aurora Moda,3000270-44.2026.8.26.8051,Cível,Carlos Nogueira,Recebido,17774.94,15886.96,82.2,17774.94,Dobra Legal
2026-08-01,Agosto,2026,Pampa Alimentos,3000271-44.2026.8.26.5965,Contratos,Rafael Mendes,Recebido,12585.57,7108.16,19.7,12585.57,Dobra Legal
2026-08-01,Agosto,2026,Serra Café,3000272-44.2026.8.26.9037,Contratos,Fernanda Lima,Parcial,12741.93,7635.25,57.8,12741.93,Dobra Legal
2026-08-01,Agosto,2026,Maré Energia,3000273-44.2026.8.26.1913,Tributário,Juliana Alves,Recebido,13162.69,8165.34,92.5,13162.69,Dobra Legal
2026-08-01,Agosto,2026,Céu Soft,3000274-44.2026.8.26.5660,Empresarial,Mariana Costa,Recebido,24297.23,21743.88,11.9,24297.23,Dobra Legal
2026-08-01,Agosto,2026,Rio Branco,3000275-44.2026.8.26.1440,Contratos,Juliana Alves,Recebido,7464.56,6598.11,45.2,7464.56,Dobra Legal
2026-08-01,Agosto,2026,Casa Norte,3000276-44.2026.8.26.5001,Trabalhista,Rafael Mendes,Parcial,7685.87,4422.47,59.6,7685.87,Dobra Legal
2026-08-01,Agosto,2026,Sul Minas,3000277-44.2026.8.26.3781,Cível,Fernanda Lima,Recebido,3334.86,2005.96,48.1,3334.86,Dobra Legal
2026-08-01,Agosto,2026,Boa Vista,3000278-44.2026.8.26.5368,Cível,Carlos Nogueira,Parcial,13195.28,12609.86,93.8,13195.28,Dobra Legal
2026-08-01,Agosto,2026,Terra Nova,3000279-44.2026.8.26.2601,Tributário,Mariana Costa,Parcial,13208.24,9180.91,25.9,13208.24,Dobra Legal
